Name,Año,Proyectado ZIPs,Steamer,Real
Drew Waters,2023,0.706964298,0.685241502,0.677186707
Joc Pederson,2023,0.776154503,0.783117695,0.764436411
Jonny DeLuca,2023,0.742669771,0.714522492,NA
Taylor Walls,2023,0.642618593,0.631019698,0.637931034
Domingo Leyba,2023,0.689912951,0.634930329,NA
Lourdes Gurriel Jr.,2023,0.775466893,0.765084812,0.771916539
Dylan Moore,2023,0.71530623,0.656577317,NA
Brandon Drury,2023,0.720487221,0.72779941,0.802834558
Nick Solak,2023,0.76982481,0.716127053,NA
Charles Leblanc,2023,0.679569942,0.638216271,NA
Marcell Ozuna,2023,0.763032859,0.747559473,0.904774349
Jose Trevino,2023,0.613962279,0.666445571,NA
Yadier Molina,2023,0.635695758,NA,NA
Dixon Machado,2023,0.662760131,0.625133757,NA
Oswaldo Cabrera,2023,0.679306963,0.69676247,0.573887075
Whit Merrifield,2023,0.676482331,0.692991964,0.699651662
Roberto Perez,2023,0.615800866,0.617715957,NA
Garrett Mitchell,2023,0.697868664,0.674608517,NA
Michael Massey,2023,0.704093567,0.702452278,0.654754164
Pete Crow-Armstrong,2023,0.686211401,0.621645946,NA
Andrew Stevenson,2023,0.698258739,0.672543272,NA
Luis Gonzalez,2023,0.675469487,0.672798269,NA
J.D. Davis,2023,0.773870052,0.728465671,0.737867647
C.J. Hinojosa,2023,0.696501259,0.648829419,NA
J.D. Martinez,2023,0.7766792,0.752034128,0.892513975
Cesar Hernandez,2023,0.669164607,0.65789176,NA
Edgar Quero,2023,0.721159698,0.568713424,NA
Jorge Soler,2023,0.771135712,0.756421203,0.853284071
Josh Jung,2023,0.753571429,0.692423083,0.781090302
Eric Haase,2023,0.703361345,0.696692323,0.527597239
Triston Casas,2023,0.792419149,0.771364451,0.856044353
Mike Brosseau,2023,0.722874312,0.660117998,NA
Andrelton Simmons,2023,0.597848462,0.606082093,NA
Chas McCormick,2023,0.699443125,0.685826815,0.841903921
Curtis Mead,2023,0.715612389,0.699724192,NA
Jake Cave,2023,0.710896802,0.677935162,NA
Kyle Farmer,2023,0.655240743,0.682742737,0.724811265
Evan Longoria,2023,0.730758583,0.715742037,NA
Vidal Brujan,2023,0.655394389,0.657268311,NA
Spencer Torkelson,2023,0.746958211,0.722591809,0.758410051
Alex De Goti,2023,0.649801066,0.597679109,NA
Jake Fraley,2023,0.785362952,0.744509182,0.782926064
Lenyn Sosa,2023,0.664467364,0.672787658,NA
Nick Loftin,2023,0.686109507,0.640630264,NA
Hoy Park,2023,0.667621135,0.638458479,NA
Edwin Arroyo,2023,0.695335343,0.547960879,NA
Andres Alvarez,2023,0.665639746,0.61593466,NA
Andre Lipcius,2023,0.667491401,0.672718767,NA
Elly De La Cruz,2023,0.726497852,0.70287184,0.710263297
Elvis Andrus,2023,0.654520112,0.67557019,0.661992473
CJ Abrams,2023,0.682687927,0.690049339,0.711587153
Jose Salas,2023,0.624168514,0.53677029,NA
Austin Wells,2023,0.675254628,0.679880464,NA
David Hamilton,2023,0.654517456,0.643742781,NA
Reese McGuire,2023,0.697047497,0.659491649,NA
Travis Swaggerty,2023,0.672572774,0.649549947,NA
Manuel Margot,2023,0.671987046,0.708350705,0.685729596
Sean Bouchard,2023,0.790741049,0.775286306,NA
Yunior Severino,2023,0.675596673,0.652612752,NA
James McCann,2023,0.678115914,0.649632966,NA
Kyle Stowers,2023,0.728488226,0.714265447,NA
Kevin Alcantara,2023,0.661685477,0.547344624,NA
Carlos Santana,2023,0.73786399,0.745794164,0.747346159
Nick Castellanos,2023,0.766804835,0.742596937,0.787513747
Drew Ellis,2023,0.649844779,0.640284703,NA
Manny Pina,2023,0.679663002,0.670964929,NA
David Fletcher,2023,0.652760929,0.670372626,NA
Oscar Gonzalez,2023,0.730609063,0.754420636,NA
Kerry Carpenter,2023,0.744789752,0.736328256,0.811161147
Kyle Manzardo,2023,0.779332478,0.742244178,NA
oscar Mercado,2023,0.679876602,0.663544673,NA
Luis Guillorme,2023,0.679937304,0.701330619,NA
Kody Clemens,2023,0.678611575,0.668185223,NA
Ildemaro Vargas,2023,0.66296915,0.663047211,0.666482344
Vimael Machin,2023,0.669528708,0.66915535,NA
